"","Name","ID","F635_B635","F532_B532","F532_B532_plum","ratio","log635_532"
"2562","CDC6 | Hs.69563 | IMAGE:204214 | H59203","hAA0812",1300,4146,3332.2896365391,0.390122150771436,-0.941295381791305
"9036","HK1 | Hs.118625 | IMAGE:840158 | AA4852*","chAA2114",13854,44172,35502.628515486,0.390224627845709,-0.941032736829679
"7392","IMAGE:1031245 | g2457468","hAD9942",1162,3696,2970.60841694368,0.391165659321576,-0.938624127594927
"9463","PLOD | Hs.75093 | IMAGE:771323 | AA4762*","hAA0272",1144,3636,2922.38425433096,0.391461183896196,-0.937868915602835
"9886","KPNB3 | Hs.113503 | IMAGE:898206 | AA59*","hAB6560",2732,8679,6975.62512193026,0.391649486927132,-0.937388005198772
"5601","PSMB5 | Hs.78596 | IMAGE:1460110 | AA86*","hAB7240",776,2462,1978.7981392087,0.392157231515446,-0.936092418806388
"3733","CCT5 | Hs.1600 | IMAGE:884425 | AA629692","hAA8101",5402,17124,13763.1760096709,0.392496615330953,-0.935227365157484
"6455","MGC5528 | Hs.315167 | IMAGE:1579997 | A*","hAD3516",984,3118,2506.04898377446,0.392649946737258,-0.934836784810677
"5756","Hs.348355 | IMAGE:155575 | R71689","hAA2410",1218,3856,3099.20618391094,0.393003862189958,-0.933935839705802
"2729","CDKN2C | Hs.4854 | IMAGE:291057 | N72115","hAA8646",1652,5215,4191.4834670891,0.394132533975443,-0.931068045599158
"8617","SPRY2 | Hs.18676 | IMAGE:813698 | AA453*","hAB5038",2465,7762,6238.59916999915,0.39512075272506,-0.92856385769727
"6123","RET | Hs.350321 | IMAGE:160664 | H24956","hAE0424",226,711,571.456326960757,0.395480790635327,-0.927653062776163
"9487","TFAP4 | Hs.3005 | IMAGE:713839 | AA2846*","hAA0046",7330,23032,18511.6485549369,0.395966895020008,-0.926424669656523
"4953","CDC25C | Hs.656 | IMAGE:415102 | W95001","hAA9081",1033,3240,2604.10478108699,0.396681426762255,-0.924621771911945
"4508","ABL1 | Hs.146355 | IMAGE:897642 | AA496*","hAA1362",2198,6879,5528.90024354859,0.397547415069523,-0.922441068807656
"4629","Hs.283713 | IMAGE:753428 | AA410434","hAC3074",1367,4278,3438.38279428709,0.397570626013859,-0.92238268516361
"2601","ALDH1A3 | Hs.75746 | IMAGE:814798 | AA4*","hAA9155",503,1574,1265.08053254041,0.397603146251824,-0.922300891122818
"4925","KLF4 | Hs.356370 | IMAGE:188232 | H45711","hAA0336",1279,4001,3215.74791022502,0.397730181502474,-0.921981439523601
"11036","HOXD9 | Hs.236646 | IMAGE:768205 | AA42*","hAA0780",1017,3180,2555.88061847427,0.397905908691109,-0.921539711970871
"8832","FOSL1 | Hs.283565 | IMAGE:251591 | H966*","hAA9010",1795,5607,4506.54799615888,0.398309304933611,-0.920526427446502
"3074","MAD2L1 | Hs.79078 | IMAGE:814701 | AA48*","hAA1726",1317,4112,3304.96261105856,0.398491648768811,-0.920068737636928
"3951","GRO3 | Hs.89690 | IMAGE:1556433 | AA935*","hAC8078",436,1359,1092.27728317816,0.399166042098201,-0.918377803047318
"5184","FLJ21174 | Hs.194329 | IMAGE:296616 | N*","hAA4800",1226,3817,3067.86047821267,0.399627039334678,-0.917223568494281
"11568","ARHB | Hs.204354 | IMAGE:143426 | R74467","hAD1015",2271,7069,5681.61009182221,0.399710638938203,-0.917014396310604
"8971","PAWR | Hs.176090 | IMAGE:1584536 | AA97*","hAC6594",1682,5235,4207.55818796001,0.399756800705233,-0.916898915016952
"11767","CDK4 | Hs.95577 | IMAGE:842806 | AA4863*","hAA1917",5443,16932,13608.8586893102,0.399960064562615,-0.916390575451823
"10475","KIAA0106 | Hs.120 | IMAGE:897983 | AA59*","hAA1832",4260,13247,10647.0913688455,0.400109274206588,-0.916017583666054
"10028","CCNA2 | Hs.85137 | IMAGE:814270 | AA459*","hAA2044",2873,8931,7178.16660490369,0.400241476429001,-0.915687222949805
"4812","CSDA | Hs.198726 | IMAGE:810057 | AA465*","hAA1184",3695,11481,9227.69351594438,0.400425089283196,-0.915228572956718
"7118","IMAGE:2494805","hAE2173",341,1058,850.352734071,0.401010058928708,-0.913768767379936
"11708","ABI-2 | Hs.343575 | IMAGE:305227 | W194*","hAA4946",2370,7352,5909.06739214555,0.401078519285505,-0.913598062151554
"7895","IMAGE:180154 | g944344","hAE0030",7188,22253,17885.5381770151,0.401888941157912,-0.911579494307875
"6046","Hs.355715 | IMAGE:752612 | AA419470","hAC9321",1330,4116,3308.17755523274,0.402034043758099,-0.911218507983349
"4480","YES1 | Hs.194148 | IMAGE:204634 | H56929","hAC7841",3290,10176,8178.81797911767,0.402258615902701,-0.910660074065694
"11550","TUBA2 | Hs.351581 | IMAGE:757489 | AA42*","chAA8864",7190,22174,17822.043029575,0.403432983977677,-0.907744891862413
"379","BAG2 | Hs.55220 | IMAGE:768008 | AA4187*","hAB5750",264,814,654.24113944593,0.403520940648243,-0.907526895101432
"2341","PTTG1 | Hs.252587 | IMAGE:2018976 | AI3*","hAC8529",1171,3609,2900.68338115524,0.403697972556258,-0.90708827329028
"5720","MAGEC1 | Hs.132194 | IMAGE:1735474 | AI*","hAC8264",1439,4432,3562.15814499307,0.403968589104513,-0.90641815378496
"2233","GDA | Hs.239147 | IMAGE:42824 | R60170","hAB5367",200,614,493.493930736856,0.405273474592426,-0.903193193844314
